	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	_step	lr-Adam	val_loss	trainer/global_step	epoch	_runtime	_timestamp	train_loss	max_val_accuracy	name
30	transformer	0.9396936902011604	0.9872362032520956		0.5211411420660339	0.0007823192748206311	0.3902332866937276	3	1	adam	reduceonplateau	2	192	1	1024	42	True	0.0016784295913836378	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696015302/version_0	4	224	2	2	0.0007621356634364363	True	128	128	68	42	4427700	2	TransformerEncoder	26		min	0.0007823192748206311	1	0.3333333333333333	0	5	loss	0.5211411420660339	4	2	1224	0.0007823192748206311	0.06874717772006989	28831	543	2303.711671113968	1696017616.0113022	0.020505692809820175	0.9860000014305116	magic-sweep-193
31	transformer	0.8266200014158303	0.9866380357793028		0.7043337968008357	0.0007733002970293098	0.35091287308282354	3	1	adam	warmupinvsqrt	2	1696	1	1984	42	True	8.054279598385574e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696014855/version_0	2	432	8	8	0.1524915159018358	True	128	128	68	42	1530100	3	TransformerEncoder	26		min	0.0007733002970293098	1	0.3333333333333333	7217	5	loss	0.7043337968008357	4	3	1800	3.493904628318284e-06	1.1020512580871582	38399	799	6689.793452978134	1696021554.834231	1.0027464628219604	0.9700000286102296	good-sweep-192
32	transformer	0.9721108019149554	0.9888427410521592		0.4984003763615923	0.0002908299765535973	0.17278254871475324	3	1	adam	None	2	976	1	576	42	True	0.00011400167602536874	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696013398/version_0	4	256	8	8	0.17716313533408545	True	128	128	68	42	772200	4	TransformerEncoder	26		min	0.0002908299765535973	1	0.3333333333333333	0	5	loss	0.4984003763615923	4	4	1035	0.00011400167602536874	1.1478956937789917	18859	459	1933.9355731010437	1696015339.3347611	1.1041083335876465	0.9850000143051147	lilac-sweep-191
33	transformer	0.8657613146951305	0.9910193348975204		0.302989126163841	0.0003946755464259314	0.3725742181984614	3	1	adam	None	2	1984	1	1344	42	True	0.0003794670361124018	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696012663/version_0	8	144	2	4	0.14521688537308505	True	128	128	68	42	3907100	2	TransformerEncoder	26		min	0.0003946755464259314	1	0.3333333333333333	0	5	loss	0.302989126163841	4	2	1467	0.0003794670361124018	0.957077145576477	26731	651	2630.587959766388	1696015303.8592255	0.940399706363678	0.9879999756813048	sweet-sweep-190
34	transformer	0.8059455525677384	0.995921927840776		0.8520522232673965	0.00046001489197397023	0.33038548313415445	3	1	adam	warmupinvsqrt	2	192	1	320	42	True	0.0023913703694516436	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696012143/version_0	6	64	2	2	0.06723845537983196	True	128	128	68	42	2399600	4	TransformerEncoder	26		min	0.00046001489197397023	1	0.3333333333333333	12497	5	loss	0.8520522232673965	4	4	1800	0.0012990875008081371	0.5692263245582581	42399	799	3817.3485164642334	1696015971.6886165	0.5137808918952942	0.977999985218048	daily-sweep-189
35	transformer	0.9226117278693864	0.9852884874975676		0.8238898918118485	0.000894547753703705	0.2905459747817889	3	1	adam	reduceonplateau	2	192	1	832	42	True	0.005315399867706481	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696011731/version_0	8	160	6	8	0.03429896170302369	True	128	128	68	42	4611600	2	TransformerEncoder	26		min	0.000894547753703705	1	0.3333333333333333	0	5	loss	0.8238898918118485	4	2	1800	0.000894547753703705	3.9910616874694824	42399	799	7611.937761545181	1696019351.4003975	0.6429628133773804	0.18799999356269836	lyric-sweep-188
36	transformer	0.8814567401954707	0.9812504549763138		0.7965822261746388	0.00041088230576641425	0.008335120969024445	3	1	adam	warmupinvsqrt	2	912	1	1728	42	True	0.0007204363974171332	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696011444/version_0	6	464	6	2	0.17137588684081329	True	128	128	68	42	457800	5	TransformerEncoder	26		min	0.00041088230576641425	1	0.3333333333333333	2007	5	loss	0.7965822261746388	4	5	1062	0.00022419841619350023	1.094837665557861	20767	471	3823.286826848984	1696015279.7914455	1.07374906539917	0.9860000014305116	young-sweep-187
37	transformer	0.9919273720916416	0.9888938809427824		0.227836095348491	0.00027407316295102746	0.1169848622169798	3	1	adam	None	2	560	1	448	42	True	4.837982743737646e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696010109/version_0	4	144	2	4	0.1867410311842376	True	128	128	68	42	2115200	3	TransformerEncoder	26		min	0.00027407316295102746	1	0.3333333333333333	0	5	loss	0.227836095348491	4	3	1449	4.837982743737646e-05	1.1734851598739624	46367	643	4693.82644867897	1696014812.6817307	1.1539618968963623	0.9860000014305116	leafy-sweep-186
38	transformer	0.92681662423761	0.9885445013229918		0.8593409449871107	0.0006959145164109203	0.12362166023594418	3	1	adam	None	2	1728	1	128	42	True	4.372700625732408e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696009952/version_0	8	272	4	8	0.030895681065239013	True	128	128	68	42	1531400	4	TransformerEncoder	26		min	0.0006959145164109203	1	0.3333333333333333	0	5	loss	0.8593409449871107	4	4	1539	4.372700625732408e-05	0.2800503969192505	32147	683	8594.317301511765	1696018569.3720746	0.2481146901845932	0.9869999885559082	generous-sweep-185
39	transformer	0.98905418096424	0.985839595804276		0.27957137803913157	0.0007314870100318726	0.34681362160190465	3	1	adam	warmupinvsqrt	2	1776	1	896	42	True	0.0018198252151325656	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-catalan/transformer/1696008749/version_0	8	288	8	4	0.07686924869928445	True	128	128	68	42	488900	2	TransformerEncoder	26		min	0.0007314870100318726	1	0.3333333333333333	2202	5	loss	0.27957137803913157	4	2	1800	0.00044543673476986296	0.6329588890075684	36799	799	7167.736602067947	1696015931.279932	0.5586465001106262	0.9810000061988832	daily-sweep-183
