	arch	beta1	beta2	expert	factor	min_lr	dropout	end_idx	pad_idx	optimizer	scheduler	start_idx	batch_size	beam_width	hidden_size	output_size	bidirectional	learning_rate	local_run_dir	decoder_layers	embedding_size	encoder_layers	attention_heads	label_smoothing	teacher_forcing	max_source_length	max_target_length	source_vocab_size	target_vocab_size	num_warmup_samples	reduce_lr_patience	source_encoder_cls	features_vocab_size	features_encoder_cls	reduceonplateau_mode	scheduler_kwargs/min_lr	scheduler_kwargs/end_factor	scheduler_kwargs/start_factor	scheduler_kwargs/warmup_steps	scheduler_kwargs/total_decay_steps	scheduler_kwargs/reduceonplateau_mode	scheduler_kwargs/reduceonplateau_factor	scheduler_kwargs/check_val_every_n_epoch	scheduler_kwargs/reduceonplateau_patience	epoch	val_loss	_timestamp	train_loss	trainer/global_step	_step	lr-Adam	_runtime	max_val_accuracy	name
75	transformer	0.8568642061498595	0.997423871574484		0.6479777125662712	0.0001781083565645456	0.2795534357010931	3	1	adam	None	2	1552	1	960	50	True	4.029200331362819e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359701/version_0	2	224	2	8	0.17849715398414484	True	128	128	83	50	643900	4	TransformerEncoder	33		min	0.0001781083565645456	1	0.3333333333333333	0	5	loss	0.6479777125662712	4	4	799	1.6990118026733398	1695362624.7551928	1.4328060150146484	20799	1800	4.029200331362819e-06	2910.525431871414	0.6729999780654907	twilight-sweep-153
76	transformer	0.9823937324832152	0.9921057253330452		0.21538244176032287	0.0003001712187241328	0.06078184868829023	3	1	adam	warmupinvsqrt	2	48	1	320	50	True	1.1792088480257416e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359321/version_0	4	32	6	4	0.040477434956270986	True	128	128	83	50	1845000	1	TransformerEncoder	33		min	0.0003001712187241328	1	0.3333333333333333	38437	5	loss	0.21538244176032287	4	1	799	0.7867986559867859	1695366964.522171	0.5173798203468323	167199	1800	5.657426733636116e-06	7636.119048118591	0.8080000281333923	apricot-sweep-152
77	transformer	0.9987692471061154	0.9925688724466136		0.1860407859000401	0.0008580842481262761	0.06256085052684629	3	1	adam	None	2	1760	1	384	50	True	0.00311918658366965	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359103/version_0	8	240	8	8	0.007440881430760249	True	128	128	83	50	3150000	3	TransformerEncoder	33		min	0.0008580842481262761	1	0.3333333333333333	0	5	loss	0.1860407859000401	4	3	203	4.244026184082031	1695360651.6674268	2.0453343391418457	4691	459	0.00311918658366965	1541.5453639030457	0.0	jumping-sweep-151
78	transformer	0.8915147964295285	0.9851726155937216		0.7562266687519472	0.0004417454616246386	0.45528320241978726	3	1	adam	None	2	1888	1	768	50	True	1.7111178877962165e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695359041/version_0	6	464	6	8	0.04445659711891388	True	128	128	83	50	1650400	4	TransformerEncoder	33		min	0.0004417454616246386	1	0.3333333333333333	0	5	loss	0.7562266687519472	4	4	799	0.5220445394515991	1695366815.4625728	0.3876356780529022	17599	1800	1.7111178877962165e-05	7764.778533697128	0.9390000104904176	eager-sweep-150
79	transformer	0.8678186663147048	0.990979509660557		0.7117532471502431	0.00013895830834611742	0.20144992173214352	3	1	adam	warmupinvsqrt	2	672	1	256	50	True	0.0002661230972492893	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695358184/version_0	2	176	6	2	0.07309331700531296	True	128	128	83	50	2845300	5	TransformerEncoder	33		min	0.00013895830834611742	1	0.3333333333333333	8468	5	loss	0.7117532471502431	4	5	799	0.6233927011489868	1695360987.6973448	0.5460126996040344	23999	1800	0.00015817541295276062	2796.707217693329	0.9710000157356262	misunderstood-sweep-149
80	transformer	0.8638629379170092	0.9942807686681232		0.5134823366628555	0.0001552425033573026	0.0892988851224113	3	1	adam	warmupinvsqrt	2	1216	1	128	50	True	0.0009245917083925896	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695357845/version_0	4	192	2	2	0.1940348178041295	True	128	128	83	50	4540200	2	TransformerEncoder	33		min	0.0001552425033573026	1	0.3333333333333333	14934	5	loss	0.5134823366628555	4	2	751	1.273202896118164	1695359773.820875	1.23018217086792	24815	1692	0.0007177300496389831	1921.6972630023956	0.9700000286102296	classic-sweep-148
81	transformer	0.8124409617094125	0.9948258749512418		0.45145496367655913	0.00015539869272120053	0.23943053873860493	3	1	adam	warmupinvsqrt	2	144	1	1216	50	True	2.3008954081477567e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695356930/version_0	2	64	4	8	0.11536710857206844	True	128	128	83	50	3572800	3	TransformerEncoder	33		min	0.00015539869272120053	1	0.3333333333333333	24811	5	loss	0.45145496367655913	4	3	799	1.186429738998413	1695359802.1533246	0.9901646375656128	55999	1800	1.532486304767e-05	2866.3408946990967	0.8209999799728394	sunny-sweep-147
82	transformer	0.8736462702125873	0.9877061450942628		0.40177374408482136	0.00031471723613017265	0.3676933356369667	3	1	adam	warmupinvsqrt	2	1680	1	128	50	True	1.8124438728144447e-06	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695356475/version_0	8	96	2	8	0.17443838592000063	True	128	128	83	50	754600	4	TransformerEncoder	33		min	0.00031471723613017265	1	0.3333333333333333	1796	5	loss	0.40177374408482136	4	4	203	3.319880247116089	1695358171.1247406	3.2511703968048096	4895	459	1.1004342342098786e-06	1689.315834522247	0.0	serene-sweep-146
83	transformer	0.9101755973697588	0.9951794620780892		0.438332792326959	0.0004609522157844068	0.1229705140652605	3	1	adam	warmupinvsqrt	2	720	1	768	50	True	1.5480863361156724e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695356310/version_0	2	144	8	8	0.164449802803466	True	128	128	83	50	4853200	4	TransformerEncoder	33		min	0.0004609522157844068	1	0.3333333333333333	13481	5	loss	0.438332792326959	4	4	799	1.2493512630462646	1695359022.0454245	1.1218172311782837	22399	1800	1.2017214868723154e-05	2702.306044578552	0.9079999923706056	vital-sweep-145
84	transformer	0.9734825754500148	0.9940127797619552		0.15237340946204211	0.000817266508183649	0.2840596343950256	3	1	adam	reduceonplateau	2	256	1	384	50	True	1.332973023975832e-05	/rc_scratch/adwi9965/yoyodyne-sweeps/results/sig-2017-inflection-arabic/transformer/1695355514/version_0	8	144	2	8	0.16543317341511812	True	128	128	83	50	2043400	4	TransformerEncoder	33		min	0.000817266508183649	1	0.3333333333333333	0	5	loss	0.15237340946204211	4	4	799	1.3400380611419678	1695359088.5859177	1.1668455600738523	31999	1800	1.332973023975832e-05	3562.595077753067	0.8669999837875366	cosmic-sweep-144
